62397c44,Enrique Pérez,2009-2018,1,MEX,mx,Morelia!Atlas
0b07c41c,Roar Strand,2000-2010,0,NOR,no,Rosenborg BK
4e8f9951,Juande,2006-2018,1,ESP,es,Spezia!Ponferradina!Bet...
eacab42f,Lossémy Karaboué,2009-2018,1,CIV,ci,Valenciennes!Nancy!Seda...
c27dfb82,Anthony Gonçalves,2009-2018,1,FRA,fr,Strasbourg!Laval
b80303a7,Marcus Gayle,1993-2007,0,JAM,jm,Wimbledon!Watford!Brent...
df1ea4bb,Miloš Dimitrijević,2004-2017,0,SRB,rs,Sydney FC!Nantes!Red St...
68299e63,Ruslan Ajinjal,2001-2015,0,RUS,ru,FC Krylia Sovetov Samara,...
21b2e37b,David Batty,1992-2004,0,ENG,gb-eng,Leeds United!Newcastle U...
d23e085d,Mounir El Hamdaoui,2002-2018,1,MAR,ma,Twente!AZ Alkmaar!AFC A...
2755d34b,Maik Franz,2001-2013,0,GER,de,Wolfsburg!Karlsruher!Ei...
b3a712de,Viktor Claesson,2011-2018,1,SWE,se,FC Krasnodar!IF Elfsborg...
a00fbcec,David Bentley,2003-2013,0,ENG,gb-eng,Blackburn Rovers!Tottenh...
5dbcf272,Cícero Vítor dos Santos Júnior,2005-2017,1,BRA,br,Santa Cruz Futebol Clube,...
ac6d2ffd,Marco Estrada,2005-2016,0,CHI,cl,Club Universidad de Chile...
b98be2be,Fabrício de Souza,2003-2015,0,BRA,br,Cruzeiro Esporte Clube!S...
8103d00d,Raúl Ferro,2006-2017,1,URU,uy,Centro Atlético Fénix!Da...
a7104778,Stefan Medina,2010-2018,1,COL,co,Monterrey!Atlético Nacio...
0b0f9e0c,Ömer Çatkıç,2001-2012,0,TUR,tr,Antalyaspor!Gaziantepspo...
a092abf5,Enrico Guarna,2008-2018,1,ITA,it,Foggia!Ascoli!Bari!Spezia
0f00594b,Chris Greenacre,2002-2012,0,ENG,gb-eng,Tranmere Rovers!Wellingt...
7e384992,Gustavo Munúa,2003-2015,0,URU,uy,Levante!Club Nacional de...
0bbc9101,Patrick Helmes,2005-2014,0,GER,de,Köln!Bayer Leverkusen!W...
8fda9d61,Silvio Meißner,1999-2008,0,GER,de,Stuttgart!Arminia Bielef...
d9a056fa,Juan Gonzalo Lorca,2005-2016,0,CHI,cl,O'Higgins FC!Huachipato,...
1e101451,Andris Vaņins,2009-2018,1,LVA,lv,FC Sion!FC Zürich
08840bbf,Martin Taylor,1998-2014,0,ENG,gb-eng,Birmingham City!Watford,...
6fbd50e9,Carlos A. Castro,2006-2013,0,ECU,ec,Club Deportivo El Naciona...
ddf2cc23,Michal Papadopulos,2005-2018,1,CZE,cz,Piast Gliwice!Zagłębie L...
a1b1bc28,Brian Montenegro,2010-2017,1,PAR,py,Club Olimpia!Tacuary!Cl...
118a8745,Danny Hollands,2005-2018,1,ENG,gb-eng,Eastleigh!Bournemouth!P...
e1deea75,Daniel Carriço,2008-2018,1,POR,pt,Sevilla!Sporting CP!Reading
84a42351,Franko Andrijašević,2009-2018,1,CRO,hr,Gent!HNK Hajduk Split!N...
b9a2792f,Damien Marcq,2009-2018,1,FRA,fr,Gent!Zulte Waregem!Char...
80c9ad77,Denni Avdić,2007-2017,1,SWE,se,AIK Fotboll!IF Elfsborg,...
27f6dd2e,Petit,2002-2011,0,POR,pt,Benfica!Köln!Boavista
1251f42e,Danijel Milićević,2005-2018,1,SUI,ch,Gent!Metz!Charleroi!Eu...
afaccb74,Gabriele Perico,2004-2018,1,ITA,it,Salernitana!Cagliari!Al...
ef115d48,Fabián Monzón,2007-2017,1,ARG,ar,Club Universidad de Chile...
79685569,Jonathan Delaplace,2010-2018,1,FRA,fr,Caen!Lorient!Zulte Ware...
75d97aa6,Stéphane Darbion,2003-2018,1,FRA,fr,Troyes!Nantes!Skoda Xan...
09f82c6e,Ryan Shotton,2007-2018,1,ENG,gb-eng,Birmingham City!Middlesb...
60fd5334,Anders Konradsen,2008-2017,1,NOR,no,Rosenborg BK!Strømsgodse...
98e958af,Oscar Hiljemark,2010-2018,1,SWE,se,Genoa!Panathinaikos FC!...
c38d4962,Cedric van der Gun,2000-2014,0,NED,nl,Utrecht!ADO Den Haag!Sw...
53538b39,James McClean,2011-2018,1,IRL,ie,West Bromwich Albion!Wig...
0ad69fd0,Bilal Kısa,2002-2018,1,TUR,tr,Akhisar Belediyespor!Bur...
de7a0858,Idir Ouali,2006-2018,1,FRA,fr,Kortrijk!Dynamo Dresden,...
1df9fe7c,Joost Broerse,2000-2015,0,NED,nl,Utrecht!Groningen!Zwoll...
bcd491be,Mehmet Hetemaj,2006-2017,1,FIN,fi,Seinäjoen Jalkapallokerho...
cb4cd526,Richárd Guzmics,2008-2017,1,HUN,hu,Yanbian Changbaishan FC!...
04965583,Aleix Vidal,2008-2018,1,ESP,es,Barcelona!Almería!Sevil...
9a6f8dfd,Alejandro Bedoya,2009-2017,1,USA,us,Philadelphia Union!Nante...
636b64cd,Luke Freeman,2007-2018,1,ENG,gb-eng,Queens Park Rangers!Stev...
84e6ea11,Diego Cavalieri,2004-2017,1,BRA,br,Fluminense FC!Sociedade ...
e967e202,Antonino Ragusa,2008-2018,1,ITA,it,Sassuolo!Pescara!Cesena...
9bbe0ecf,Paolo Di Canio,1997-2006,0,ITA,it,West Ham United!Lazio!S...
3e0523f9,Tomáš Černý,2007-2018,1,CZE,cz,Partick Thistle!Hamilton...
29a506e1,Tongo Doumbia,2009-2018,1,MLI,ml,GNK Dinamo Zagreb!Toulou...
2f9c21da,Raphael Holzhauser,2010-2018,1,AUT,at,FK Austria Wien!Stuttgar...
bd504946,Mounir Obbadi,2010-2017,0,MAR,ma,Troyes!Monaco!Lille!He...
54073b28,Recio,2010-2018,1,ESP,es,Málaga!Granada
62ec9d5e,Joël Sami,2008-2017,0,COD,cd,Nancy!Orléans!Zulte War...
2f3452eb,Elseid Hysaj,2012-2018,1,ALB,al,Napoli!Empoli
8db518ba,Keith Southern,2002-2015,0,ENG,gb-eng,Blackpool!Huddersfield T...
67979188,Paulo Henrique,2007-2017,0,BRA,br,Trabzonspor!Heerenveen!...
e5a77551,Ivan Sproule,2004-2014,0,NIR,gb-nir,Bristol City!Hibernian!...
b6602cb4,Nick Chadwick,2000-2014,0,ENG,gb-eng,Plymouth Argyle!Barrow!...
d8f5dc3d,Manuel Schmiedebach,2009-2018,1,GER,de,Hannover 96
420d7c7d,Luke Ayling,2009-2018,1,ENG,gb-eng,Leeds United!Yeovil Town...
26599d86,Artur Wichniarek,1999-2011,0,POL,pl,Arminia Bielefeld!Hertha...
c05557bc,Julien Cétout,2009-2018,1,FRA,fr,Nancy!Tours
641ee001,Amour Patrick Tignyemb,2008-2018,1,CMR,cm,Bloemfontein Celtic FC
4d7dfe06,Ever Cantero,2006-2017,0,PAR,py,Cobresal!Cobreloa!Ñuble...
52fefc5b,Darren Carter,2001-2018,1,ENG,gb-eng,Solihull Moors!Preston N...
5046d8b7,Kehinde Fatai,2007-2018,1,ROU,ro,FC Ufa!FC Astra Giurgiu,...
ae81fa62,Takayuki Morimoto,2004-2017,1,JPN,jp,Kawasaki Frontale!Catani...
502699c8,Sascha Rösler,1999-2013,0,GER,de,Alemannia Aachen!Fortuna...
e3e9e526,Tomáš Zápotočný,2006-2016,0,CZE,cz,1. FK Příbram!AC Sparta ...
c14bc029,Saúl Ñíguez,2012-2018,1,ESP,es,Atlético Madrid!Rayo Val...
8df7a2fb,Ben Mee,2010-2018,1,ENG,gb-eng,Burnley!Leicester City
04e5057b,Ariel Rosada,2001-2012,0,ARG,ar,Toluca!Newell's Old Boys...
c9ee7b27,Josip Barišić,2008-2018,1,CRO,hr,Piast Gliwice!HNK Cibali...
b69769a6,Zdeněk Pospěch,2007-2014,0,CZE,cz,FC Copenhagen!Mainz 05!...
47176127,Juanito,2002-2012,0,ESP,es,Málaga!Almería!Alavés!...
9a7b3dc6,Kim Jin-hyeon,2009-2017,1,KOR,kr,Cerezo Osaka
e5d01ecf,Kiko Femenía,2008-2018,1,ESP,es,Watford!Hércules!Alavés...
1b84dbe1,Lucas Digne,2011-2018,1,FRA,fr,Barcelona!Lille!Roma!P...
0757d5ba,Guillermo Pereyra,2001-2011,0,ARG,ar,Mallorca!Club Atlético R...
1e26e376,Sergio Romero,2006-2018,1,ARG,ar,Manchester United!AZ Alk...
c0dfd27c,Douglas,2007-2017,0,NED,br,Twente!FC Dynamo Moscow,...
64c4e25c,Jorge Achucarro,2007-2017,1,PAR,py,Deportivo Capiatá!Club R...
b3094269,Mark Wilson,2001-2015,0,SCO,gb-sco,Dundee United!Celtic!Du...
ae0f7da7,Miroslav Stoch,2008-2018,1,SVK,sk,SK Slavia Prague!Fenerba...
f15a50e8,Scott Malone,2008-2018,1,ENG,gb-eng,Huddersfield Town!Millwa...
30a43fc8,Tomasz Zdebel,2001-2011,0,POL,pl,Bochum!Gençlerbirliği SK...
dcb21936,Adama Traoré,2009-2018,1,CIV,ci,Göztepe SK!FC Basel!Gol...
6630e590,Juan Velasco Damas,1999-2011,0,ESP,es,Celta Vigo!Atlético Madr...
2a920598,Phil Jevons,1999-2013,0,ENG,gb-eng,Morecambe!Yeovil Town!G...
1dabd933,Jaber Ansari,2009-2018,1,IRN,ir,Esteghlal FC!Moghavemat ...
b3b7f5a6,Timothy Chandler,2010-2018,1,USA,us,Eintracht Frankfurt!Nürn...
491420f7,Shane Smeltz,2004-2017,0,NZL,nz,Perth Glory FC!Wellingto...
d33fefdf,Ramón Cardozo,2007-2017,1,PAR,py,Independiente F.B.C.!Tac...
76b70e14,Tibor Heffler,2006-2018,1,HUN,hu,Budapest Honvéd FC!Paksi...
9c474d1f,Rudy Mater,2006-2014,0,FRA,fr,Valenciennes
3099f117,Walter Jiménez,2001-2011,0,ARG,ar,Santos Laguna!Veracruz!...
2361ce33,Lamine Gassama,2008-2018,1,SEN,sn,Alanyaspor!Lorient!Lyon
d6bd320f,Sebastián Battaglia,2001-2012,0,ARG,ar,Boca Juniors!Villarreal
e01f6654,Song Jin-hyung,2007-2015,0,KOR,kr,Jeju United FC!Tours!Ne...
f61263c6,Fabio Galante,1998-2010,0,ITA,it,Livorno!Torino!Internaz...
b220c543,Christian Mayrleb,2003-2011,0,AUT,at,LASK Linz!FC Pasching!F...
3d79a80b,Rogério Luiz da Silva,2003-2014,0,BRA,br,FC Aarau!Grasshopper Clu...
c018d8aa,Javier Chumpitaz,2005-2016,0,PER,pe,Coronel Bolognesi!Ayacuc...
af31925d,Lennart Thy,2009-2018,1,GER,de,VVV-Venlo!St. Pauli!Wer...
412db81c,Francisco Martos,2008-2018,1,ESP,es,Charleroi!Iraklis 1908 T...
0b130dc1,Rafael Olarra,2001-2016,0,CHI,cl,Club Universidad de Chile...
d575bcaf,Guido Marilungo,2008-2018,1,ITA,it,Spezia!Atalanta!Lecce!...
850c0a0d,Anaitz Arbilla,2010-2018,1,ESP,es,Eibar!Hércules!Rayo Val...
e8b59142,Václav Procházka,2009-2018,1,CZE,cz,Osmanlıspor!FC Baník Ost...
1e7ae394,Patrik Anttonen,2001-2015,0,SWE,se,Örebro SK!Degerfors IF
f521b80a,Matthias Ginter,2011-2018,1,GER,de,Borussia Mönchengladbach,...
43a166b4,Divock Origi,2012-2018,1,BEL,be,Liverpool!Wolfsburg!Lille
87bae062,Maciej Żurawski,2002-2011,0,POL,pl,Wisła Kraków!Celtic!AE ...
14ed837f,Germán Lux,2001-2018,1,ARG,ar,Club Atlético River Plate...
098545da,Mahir Sağlık,2003-2017,0,TUR,tr,Paderborn 07!St. Pauli!...
f9ecf272,Ekrem Dağ,2003-2014,0,AUT,at,Gaziantepspor!Beşiktaş J...
e0991c04,Marcos Rojo,2008-2018,1,ARG,ar,Manchester United!Sporti...
963a328b,Tolgay Arslan,2009-2018,1,GER,de,Beşiktaş J.K.!Hamburger ...
4698b988,Roberto Sosa,1998-2010,0,ARG,ar,Udinese!Napoli!Club de ...
81b013ec,Petr Jiráček,2009-2018,1,CZE,cz,FC Fastav Zlín!FC Viktor...
5e6f51b1,Marco Biagianti,2006-2016,0,ITA,it,Catania!Livorno
2592d9b5,Steven Caulker,2009-2018,1,ENG,gb-eng,Dundee!Queens Park Range...
f16f025d,Imre Szabics,2003-2014,0,HUN,hu,SK Sturm Graz!Stuttgart,...
19639241,Biagio Pagano,2003-2013,0,ITA,it,Rimini!Bari!Reggina!Mo...
711d9cce,Lewis McGugan,2006-2018,1,ENG,gb-eng,Northampton Town!Notting...
f7c9fcd6,Samuel Souprayen,2009-2018,1,FRA,fr,Hellas Verona!Dijon!Rennes
d67fb974,Óscar Ayala,2002-2017,1,PAR,py,Club Social y Deportivo M...
a49a3e23,David Buchanan,2004-2018,1,NIR,gb-nir,Northampton Town!Bury!P...
2daed131,Kevin Betsy,2001-2015,0,SEY,sc,Wycombe Wanderers!Woking...
80d575f5,Anders Due,2005-2015,0,DEN,dk,AaB Fodbold!FC Nordsjæll...
c143b6bb,Facundo Quiroga,2000-2013,0,ARG,ar,Wolfsburg!All Boys!Spor...
47bf1b63,Stephen Hughes,2000-2014,0,SCO,gb-sco,Leicester City!Motherwel...
975410dc,Mikael Boman,2008-2018,1,SWE,se,IFK Göteborg!Randers FC,...
0e46e5b1,Bruce Djite,2006-2016,0,AUS,au,Adelaide United FC!Gençl...
56d43c27,Olivier Sorin,2005-2014,0,FRA,fr,Auxerre!Nancy
407b03ff,Kim Byung-ji,2007-2015,0,KOR,kr,Gyeongnam FC!Jeonnam Dra...
a422fba8,Birkir Már Sævarsson,2008-2017,1,ISL,is,Hammarby Fotboll!SK Brann
9e9673a1,Cornel Râpă,2008-2018,1,ROU,ro,Pogoń Szczecin!FC Oțelul...
a57f9851,Andreas Drugge,2001-2014,0,SWE,se,Trelleborgs FF!IF Elfsbo...
081e9396,Ian Black,2004-2017,0,SCO,gb-sco,Inverness CT!Heart of Mi...
b0d136e8,José Molina,1999-2007,0,ESP,es,Deportivo La Coruña!Leva...
5decc125,Dmitri Bulykin,2001-2014,0,RUS,ru,FC Dynamo Moscow!ADO Den...
97b87472,Tomáš Hubočan,2008-2018,1,SVK,sk,Trabzonspor!Marseille!F...
23581739,Juan Aguilar,2009-2017,1,PAR,py,Club Guaraní!Cerro Porteño
0657888a,Omar Ramos,2006-2018,1,ESP,es,Leganés!Valladolid!Tene...
7542ce83,Miguel Ángel,2001-2011,0,ESP,es,Málaga!Betis!Gimnàstic,...
862a1c15,Miguel Almiron,2007-2017,1,PAR,py,Atlanta United!Independi...
2df0b7ad,Rúrik Gíslason,2007-2018,1,ISL,is,Nürnberg!Sandhausen!Ode...
0d467c8f,Frank Hansen,2003-2017,0,DEN,dk,Silkeborg IF!Esbjerg fB
b8be3693,Doni,2003-2012,0,BRA,br,Roma!Sport Club Corinthi...
e08411c4,Jonathan Legear,2004-2018,1,BEL,be,Sint-Truiden!Anderlecht,...
52b1c3b1,Julio Irrazábal,2007-2017,1,PAR,py,Deportivo Capiatá!Cerro ...
e7dd897e,Sergio Galván Rey,2004-2011,0,ARG,ar,Atlético Nacional!New Yo...
04398544,René Klingbeil,2004-2015,0,GER,de,Erzgebirge Aue!Hamburger...
0c42f199,Andreas Wittwer,2010-2018,1,SUI,ch,FC St. Gallen!FC Thun
e32ae013,Miloš Bosančić,2006-2018,1,SRB,rs,FC Slovan Liberec!Gyeong...
119b9a8e,Aymeric Laporte,2012-2018,1,FRA,fr,Athletic Bilbao!Manchest...
d2d8675a,Álvaro Vázquez,2010-2018,1,ESP,es,Gimnàstic!Getafe!Espany...
8af9e002,Antoine Devaux,2009-2018,1,FRA,fr,Tours!Reims!Toulouse
203d94d6,Jonathan Forte,2003-2018,1,BRB,bb,Notts County!Scunthorpe ...
619b5c6b,Helge Haugen,2002-2014,0,NOR,no,Tromsø IL!SK Brann!Høne...
deb20131,Jonas Svensson,2011-2018,1,NOR,no,AZ Alkmaar!Rosenborg BK
50967e7d,Happy Jele,2006-2018,1,RSA,za,Orlando Pirates
088ca1bd,Jonathan Schmid,2010-2018,1,FRA,fr,Augsburg!Freiburg!Hoffe...
1939a1b5,Rolan Gusev,2001-2011,0,RUS,ru,PFC CSKA Moscow!FC Arsen...
6f63913c,Roger Guerreiro,2003-2013,0,POL,pl,Legia Warsaw!AEK Athens ...
d572e975,Kunimitsu Sekiguchi,2008-2017,1,JPN,jp,Cerezo Osaka!Vegalta Sen...
84b97ecc,Johan Arneng,2002-2014,0,SWE,se,Djurgårdens IF Fotboll!A...
375622c5,Jordan Ferri,2012-2018,1,FRA,fr,Lyon
1507cc53,Juan Carlos Escobar,2006-2017,1,COL,co,Sportivo Luqueño!Deporte...
f1993806,Marius Pena,2008-2018,1,ROU,ro,CS Concordia Chiajna!FC ...
755ea891,Maik Taylor,1996-2013,0,NIR,gb-nir,Birmingham City!Fulham!...
7586ae9b,Roland Varga,2009-2018,1,HUN,hu,Ferencvárosi TC!Győri ET...
b43014a2,Hossein Mahini,2009-2018,1,IRN,ir,Persepolis FC!Zob Ahan I...
6ec1ddf1,Paul-Jose M'Poku,2010-2018,1,COD,cd,Standard Liège!Leyton Or...
80463957,Marcus Stewart,2000-2011,0,ENG,gb-eng,Sunderland!Exeter City!...
0105f4d1,Luis Enrique Robles,2003-2018,1,MEX,mx,Atlas!Puebla!Chiapas
7b9cd9d5,Koichi Sato,2009-2017,1,JPN,jp,Zweigen Kanazawa!FC Gifu...
fba5d09e,Philippe Violeau,1999-2006,0,FRA,fr,Lyon!Auxerre
35a43937,Lars-Christopher Vilsvik,2010-2017,1,NOR,no,Strømsgodset IF
824a60ac,Jon Knudsen,2000-2012,0,NOR,no,Stabæk Fotball!Fredrikst...
57b09c85,Oleh Krasnopyorov,2003-2015,0,UKR,ua,FC Vorskla Poltava!FC Il...
e76c18e4,Simon Pouplin,2005-2016,0,FRA,fr,Rennes!Freiburg!Sochaux...
751bc6fc,Gheorghe Bucur,2006-2016,0,ROU,ro,FC Kuban Krasnodar!FC Po...
a2fa8000,Kristoffer Paulsen Vatshaug,2000-2013,0,NOR,no,Molde FK!FK Bodø/Glimt!...
1432d037,Jakub Řezníček,2009-2018,1,CZE,cz,FC Viktoria Plzeň!SK Sig...
aaa5e955,Peniel Mlapa,2008-2018,1,GER,de,Bochum!Dynamo Dresden!H...
1c524d4a,Anthony Annan,2007-2017,1,GHA,gh,HJK Helsinki!Rosenborg B...
caf9c4b6,Paul Hanlon,2007-2018,1,SCO,gb-sco,Hibernian
3bb7af3b,Riccardo Saponara,2010-2018,1,ITA,it,Fiorentina!Empoli!Milan
58552628,Jonathan Cisternas,2005-2017,0,CHI,cl,Ñublense!Cobreloa!Club ...
870b6f34,Marcus Pode,2005-2017,1,SWE,se,Trelleborgs FF!Örebro SK...
52c2dde2,Alejandro Alonso,2001-2013,0,ARG,ar,Bordeaux!Monaco!Club At...
0d1252cd,Musa Bilankulu,2006-2018,1,RSA,za,Lamontville Golden Arrows...
ee833569,Etrit Berisha,2010-2018,1,ALB,al,Atalanta!Kalmar FF!Lazio
d2722647,Blagoy Georgiev,2005-2017,0,BUL,bg,FC Terek Grozny!FC Rubin...
2f798b41,Aymen Abdennour,2009-2018,1,TUN,tn,Marseille!Toulouse!Vale...
bb951028,Marco Antonio Palacios,2003-2015,0,MEX,mx,UNAM!Morelia!Veracruz
b93ae324,Marcel Ndjeng,2005-2016,0,CMR,cm,Hertha BSC!Augsburg!Pad...
eebd5530,Grigoris Makos,2003-2017,0,GRE,gr,Panionios FC!AEK Athens ...
56da6c6e,David Rivas,1999-2013,0,ESP,es,Betis!Huesca!FC Vaslui
65d62814,Antonio Adán,2006-2018,1,ESP,es,Betis!Real Madrid!Real ...
b18a3023,Júnior Alonso,2013-2018,1,PAR,py,Lille!Cerro Porteño
c2740a68,Ismaïl Aissati,2005-2017,0,MAR,ma,FC Terek Grozny!AFC Ajax...
b7ca5c51,Gabriel Paulista,2010-2018,1,BRA,br,Valencia!Esporte Clube V...
cd1966ec,Eduardo Lobos,2005-2017,1,CHI,cl,Everton de Viña del Mar!...
497228f9,Niklas Hult,2009-2018,1,SWE,se,Panathinaikos FC!AEK Ath...
6b452f26,Guillermo Barros Schelotto,2001-2011,0,ARG,ar,Boca Juniors!Columbus Cr...
441dfe47,Elierce Barbosa de Souza,2009-2017,1,BRA,br,Cerezo Osaka!Sociedade E...
b7084daf,Ahmed Musa,2010-2018,1,NGA,ng,PFC CSKA Moscow!VVV-Venl...
831674a5,Bjørn Helge Riise,2003-2015,0,NOR,no,Lillestrøm SK!Brussels!...
fa2e0b8a,Fernando Couto,1998-2008,0,POR,pt,Lazio!Parma
208d2bd9,Walter López,2006-2018,1,URU,uy,Spezia!Benevento!Bresci...
8cbb78fb,Yordi,1999-2009,0,ESP,es,Zaragoza!Xerez!Córdoba,...
9ebd40f4,Renato Neto,2010-2017,0,BRA,br,Gent!Cercle Brugge!Vide...
69873a5f,Luis Fernando León,2011-2017,1,ECU,ec,Independiente del Valle
d068aa76,Steve Colpaert,2004-2017,0,BEL,be,Zulte Waregem!Brussels!...
f8ea978c,Thomas Schrammel,2009-2018,1,AUT,at,SK Rapid Wien!SK Sturm G...
6b619260,Mikael Rosén,2001-2011,0,SWE,se,Halmstads BK!Viborg FF!...
339ae404,Christian Manfredini,2001-2009,0,CIV,ci,Lazio!Talleres de Córdob...
ee4c7c24,Francis,2003-2015,0,ESP,es,Xerez!Racing Santander
d04d34c4,Giannis Fetfatzidis,2009-2018,1,GRE,gr,Al-Ahli SC!Olympiacos FC...
d8eb6983,Hideo Ōshima,2005-2016,0,JPN,jp,Yokohama F. Marinos!Gira...
6928fff7,Goran Roce,2009-2018,1,CRO,hr,NK Istra 1961!Skoda Xant...
1451bcc6,Samuel Bouhours,2007-2018,1,FRA,fr,Reims!Tours!Le Mans!Aj...
99f5d6aa,Fabián Castillo,2010-2018,1,COL,co,Trabzonspor!FC Dallas!D...
cb52817d,Emerson,2006-2016,0,BRA,br,Lille!Benfica!Clube Atl...
cfd5e123,Gaëtan Bong,2005-2018,1,CMR,cm,Brighton & Hove Albion!V...
a2768a3a,Iasmin Latovlevici,2006-2018,1,ROU,ro,Galatasaray SK!FC Steaua...
07c7eb0c,Anthony Losilla,2010-2018,1,FRA,fr,Bochum!Laval!Dynamo Dresden
f8a83e49,Nikola Lazetić,2001-2011,0,SRB,rs,Torino!Red Star Belgrade...
ce639756,Ioannis Amanatidis,2002-2011,0,GRE,gr,Eintracht Frankfurt!Stut...
bb78f8a5,Jordan Harvey,2006-2017,1,USA,us,Vancouver Whitecaps FC!P...
9a9c05db,Matthew Lowton,2009-2018,1,ENG,gb-eng,Burnley!Sheffield United...
d8f7492f,Chris Erskine,2009-2018,1,SCO,gb-sco,Partick Thistle!Dundee U...
0e321a1c,Francesco Signori,2009-2018,1,ITA,it,Ternana!Venezia!Modena,...
76bbcfa9,Élton José Xavier Gomes,2004-2018,1,BRA,br,Al-Qadisiyah FC!Al-Fateh...
7b085418,Luigi Di Biagio,1998-2007,0,ITA,it,Internazionale!Brescia!...
3b1716f7,Sebastián Leto,2004-2017,0,GRE,ar,Panathinaikos FC!Club At...
4f0d84ca,Ivan Krstanović,2008-2018,1,BIH,ba,NK Lokomotiva!NK Zagreb,...
083525e5,Papy Djilobodji,2009-2018,1,SEN,sn,Dijon!Nantes!Sunderland...
5330af9d,Rodolph Austin,2008-2017,0,JAM,jm,Leeds United!SK Brann!B...
cc1f924c,Stelios Malezas,2005-2018,1,GRE,gr,PAOK FC!Fortuna Düsseldo...
1c02d73c,Marlon de Jesús,2007-2017,1,ECU,ec,Club Sport Emelec!Club D...
68982662,Hamdi Salihi,2004-2013,0,ALB,al,SV Ried!SK Rapid Wien!J...
f91e81c9,Jens Stryger Larsen,2009-2018,1,DEN,dk,FK Austria Wien!Udinese,...
783beed8,Aldo Olcese,2005-2013,0,PER,pe,Alianza Lima!Unión Comer...
bf9a2406,Rogelio Funes Mori,2009-2018,1,ARG,ar,Monterrey!Club Atlético ...
26e17f25,Marcelo Moreno,2004-2016,0,BOL,bo,Cruzeiro Esporte Clube!C...
c5d9c6a0,André Lima,2004-2017,1,BRA,br,Esporte Clube Vitória!Gr...
51a44732,Liam Fontaine,2004-2018,1,ENG,gb-eng,Bristol City!Ross County...
005ade52,Miguel Palanca,2006-2017,0,ESP,es,Elche!Numancia!Castelló...
5bc0c164,Shkëlzen Gashi,2006-2017,1,ALB,al,Colorado Rapids!Grasshop...
d26feb50,Vratislav Lokvenc,2000-2009,0,CZE,cz,Kaiserslautern!FC Red Bu...
67b054d1,Jukka Raitala,2007-2017,1,FIN,fi,Columbus Crew!HJK Helsin...
32e0c69e,Davide Brivio,2006-2018,1,ITA,it,Virtus Entella!Vicenza!...
90a2a72b,Jonathan Moreira,2004-2015,0,BRA,br,Cruzeiro Esporte Clube!I...
463503e2,Marcin Kamiński,2009-2018,1,POL,pl,Stuttgart!Lech Poznań
38182a83,Karel Piták,2006-2016,0,CZE,cz,FK Baumit Jablonec!FC Re...
0d9168da,Angelos Basinas,2000-2011,0,GRE,gr,Panathinaikos FC!Mallorc...
2f21a57c,Carlos García,2003-2017,0,ESP,es,Almería!Poli Ejido!Beti...
3925dbd6,Aleksandar Mitrović,2012-2018,1,SRB,rs,Newcastle United!Fulham,...
9509d84a,Renat Yanbayev,2007-2018,1,RUS,ru,FC Lokomotiv Moscow!FC K...
ff41b91f,Adamo Coulibaly,2007-2016,0,MLI,ci,Debreceni VSC!Lens!Sint...
e43dc872,Mehmet Yılmaz,2001-2013,0,TUR,tr,Trabzonspor!Osmanlıspor,...
275f136f,Kenneth Høie,2000-2016,0,NOR,no,Djurgårdens IF Fotboll!I...
6fc287d5,Mingo,2000-2012,0,ESP,es,Gimnàstic!Betis!Albacet...
8bb2be61,László Sepsi,2006-2018,1,ROU,ro,Nürnberg!FC Politehnica ...
84d03d5c,Marko Mirić,2009-2018,1,SRB,rs,Lokeren!FK Spartak Zlati...
6d22b04d,Ilčo Naumoski,2003-2013,0,MKD,mk,SV Mattersburg!Grazer AK
9ddc3474,Ramon Motta,2006-2017,1,BRA,br,CR Vasco da Gama!Beşikta...
7b309e55,Gorka Elustondo,2006-2018,1,ESP,es,Rayo Vallecano!Atlético ...
cd0a9411,Álvaro Domínguez,2008-2016,0,ESP,es,Atlético Madrid!Borussia...
f70e3225,Nourdin Boukhari,2000-2014,0,MAR,ma,Sparta Rotterdam!AFC Aja...
2a1beb34,Marten de Roon,2009-2018,1,NED,nl,Atalanta!Middlesbrough!...
9e4c7942,Adalberto Román,2007-2017,1,PAR,py,Club Libertad!Club Atlét...
c7b15853,Kazuhisa Kawahara,2006-2017,1,JPN,jp,Ehime FC!Tochigi SC!Alb...
d7cdfd81,Tobias Kempe,2009-2018,1,GER,de,Darmstadt 98!Erzgebirge ...
0473469e,Matteo Rubin,2007-2018,1,ITA,it,Foggia!Modena!Torino!B...
bbca2c6c,Rubin Okotie,2007-2018,1,AUT,at,Beerschot Wilrijk!FK Aus...
12bdac6a,Fábio Bilica,1998-2014,0,BRA,br,Venezia!Fenerbahçe SK!E...
9426ddeb,Chikara Fujimoto,2001-2014,0,JPN,jp,Omiya Ardija!Sanfrecce H...
e94dfdc6,Ayoze García,2003-2017,1,ESP,es,New York Cosmos!Tenerife...
aa0a4f4d,Kerem Şeras,2003-2015,0,TUR,tr,Gençlerbirliği SK!Kasımp...
67c31cb7,Víctor Salas,1999-2017,1,ESP,es,Academia Deportiva Cantol...
b3cb9499,Dennis Hediger,2010-2018,1,SUI,ch,FC Thun
3071b4f1,Marcel Ziemer,2005-2018,1,GER,de,Hansa Rostock!Wehen Wies...
d50a481c,Ferreira Pinto,2004-2014,0,BRA,br,Atalanta!Cesena!Perugia...
