b418dbd4,Raúl García,2004-2018,1,ESP,es,Athletic Bilbao!Atlético...
41473b67,Rafael van der Vaart,2000-2018,1,NED,nl,FC Midtjylland!Hamburger...
46ed55b6,Paolo Cannavaro,2000-2018,1,ITA,it,Sassuolo!Napoli!Parma!...
65d750b5,Gabi,2003-2018,1,ESP,es,Atlético Madrid!Zaragoza...
d0ed4d32,Antonio Cassano,1999-2016,0,ITA,it,Roma!Sampdoria!Parma!B...
e85fb9b8,Giorgio Chiellini,2002-2018,1,ITA,it,Juventus!Livorno!Fiorentina
683e9dbc,Benoît Cheyrou,2000-2017,1,FRA,fr,Marseille!Toronto FC!Au...
d87d0dfc,Diego Forlán,2001-2016,0,URU,uy,Atlético Madrid!Villarre...
c0cddebe,Blaise Matuidi,2005-2018,1,FRA,fr,Paris Saint-Germain!Juve...
7adea561,Jérémy Toulalan,2002-2018,1,FRA,fr,Bordeaux!Lyon!Monaco!N...
f83c8d6c,Jimmy Briand,2002-2018,1,FRA,fr,Guingamp!Rennes!Lyon!H...
03dc5b1f,Nino,2001-2017,0,ESP,es,Elche!Tenerife!Osasuna,...
ccc22fea,Bastian Schweinsteiger,2002-2017,1,GER,de,Bayern Munich!Chicago Fi...
255a478a,Diego,2003-2017,1,BRA,br,Clube de Regatas do Flame...
48c16bf5,Rio Mavuba,2003-2018,1,FRA,fr,Lille!AC Sparta Prague!...
6f08cece,Maxwell,2001-2017,0,BRA,br,Paris Saint-Germain!AFC ...
8f62b6ee,Hugo Lloris,2005-2018,1,FRA,fr,Tottenham Hotspur!Lyon!Nice
82dbf623,Fernando Llorente,2004-2018,1,ESP,es,Athletic Bilbao!Tottenha...
e6af3cc7,Clarence Seedorf,1999-2013,0,NED,nl,Milan!Internazionale!Bo...
3bb7f478,Edin Džeko,2007-2018,1,BIH,ba,Roma!Manchester City!Wo...
55667895,Emiliano Moretti,2000-2018,1,ITA,it,Torino!Valencia!Genoa!...
7e6917be,Djibril Cissé,1999-2015,0,FRA,fr,Auxerre!Panathinaikos FC...
12bf5523,Mickaël Landreau,1999-2014,0,FRA,fr,Nantes!Lille!Paris Sain...
500c4e9b,Seydou Keita,1999-2016,0,MLI,ml,Lens!Barcelona!Roma!Se...
e5a2dfc2,Tim Cahill,2001-2018,1,AUS,au,Millwall!Everton!Melbou...
9417f322,Nicolás Burdisso,2001-2018,1,ARG,ar,Torino!Roma!Internazion...
165bed61,Samir Nasri,2004-2018,1,FRA,fr,Antalyaspor!Manchester C...
b2d6ea70,Kaká,2003-2017,1,BRA,br,Milan!Orlando City!Real...
878ee034,Sergio Pellissier,2002-2018,1,ITA,it,Chievo
63b0ca6b,Álvaro Negredo,2005-2018,1,ESP,es,Beşiktaş J.K.!Sevilla!A...
9a0973f3,Yuki Abe,2001-2017,1,JPN,jp,Urawa Red Diamonds!JEF U...
5b887c7a,Jérémy Mathieu,2002-2018,1,FRA,fr,Sporting CP!Valencia!To...
f61c7c4e,Franck Ribéry,2004-2018,1,FRA,fr,Bayern Munich!Marseille,...
de491a33,Philipp Lahm,2003-2017,0,GER,de,Bayern Munich!Stuttgart
b13c4620,Stewart Downing,2002-2018,1,ENG,gb-eng,Middlesbrough!Liverpool,...
ad7b19ef,Yohan Cabaye,2004-2018,1,FRA,fr,Crystal Palace!Lille!Ne...
3870f7c3,Nicolas Penneteau,1999-2018,1,FRA,fr,Charleroi!Valenciennes!...
e029e404,Víctor Valdés,2002-2017,0,ESP,es,Barcelona!Middlesbrough,...
29733c72,Juan Mata,2006-2018,1,ESP,es,Manchester United!Valenc...
9bf988c2,John Arne Riise,1999-2016,0,NOR,no,Liverpool!Roma!Fulham!...
8ad24039,Anthony Réveillère,1999-2015,0,FRA,fr,Lyon!Rennes!Valencia!S...
5b5420e2,Yasuhito Endō,2001-2017,1,JPN,jp,Gamba Osaka
f3642ba8,Mathieu Bodmer,2003-2018,1,FRA,fr,Amiens!Lille!Nice!Lyon...
2f726a89,Kevin Davies,1997-2015,0,ENG,gb-eng,Bolton Wanderers!Southam...
0b3bd1fc,Timmy Simons,2003-2018,1,BEL,be,Club Brugge!PSV Eindhove...
b18095b6,Leighton Baines,2002-2018,1,ENG,gb-eng,Everton!Wigan Athletic
8d8178ac,Rodrigo Palacio,2003-2018,1,ARG,ar,Bologna!Boca Juniors!In...
a0e209bc,Nigel de Jong,2002-2018,1,NED,nl,Mainz 05!AFC Ajax!Manch...
d417b306,Matteo Brighi,2000-2018,1,ITA,it,Perugia!Empoli!Roma!Ch...
a889ffc7,Marco Borriello,2002-2018,1,ITA,it,SPAL!Genoa!Milan!Roma,...
16380240,Mesut Özil,2006-2018,1,GER,de,Arsenal!Real Madrid!Wer...
941bcf75,Paul Konchesky,1998-2017,0,ENG,gb-eng,Charlton Athletic!Leices...
fe97f10b,Darren Bent,2001-2018,1,ENG,gb-eng,Burton Albion!Ipswich To...
b8c0a975,Brad Friedel,1996-2014,0,USA,us,Blackburn Rovers!Aston V...
cfd8d664,Juanfran,2003-2018,1,ESP,es,Atlético Madrid!Osasuna,...
5faa73aa,Markus Rosenberg,2001-2017,1,SWE,se,Malmö FF!Werder Bremen!...
4bd414c1,Raúl Albiol,2004-2018,1,ESP,es,Napoli!Valencia!Real Ma...
89f951b5,Ivan Rakitić,2006-2018,1,CRO,hr,Barcelona!Sevilla!Schal...
101da2b5,Fernandinho,2003-2018,1,BRA,br,Manchester City!FC Shakh...
c1c8eff9,Benoît Pedretti,2001-2018,1,FRA,fr,Nancy!Auxerre!Sochaux!...
002d06bb,Sylvain Distin,2000-2016,0,FRA,fr,Everton!Manchester City,...
74419746,Samir Handanović,2004-2018,1,SVN,si,Internazionale!Udinese!...
32fc9ff2,Eiður Guðjohnsen,2000-2016,0,ISL,is,Chelsea!Barcelona!Club ...
62393d3b,Joleon Lescott,2001-2017,0,ENG,gb-eng,Wolverhampton Wanderers!...
c4bbea9f,Vitorino Hilton,2003-2018,1,BRA,br,Montpellier!Lens!Marsei...
